"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y[4]",73.1813837517121,0.295478697783436,47.0540497981261,18.3979706336523,41.0840493313599,61.466819920346,92.0937445056495,195.325150440452,25359.5570080135,1.00008718598155
"y[5]",72.8294100110603,0.296788021341269,48.3215858759157,18.0785086355376,39.9649700544031,60.6996197039551,92.0800595291842,196.877235277371,26508.7726998095,1.00000550171315
"y[6]",42.0564625887794,0.208767773041316,32.4283327545949,8.29889209538733,20.4287699127163,33.1031974204677,53.4387925086912,128.525116641254,24128.0555698601,0.999933629066992
"y[7]",50.5426456258188,0.231150797330188,36.5218433731011,9.6805496791866,25.37699598837,41.0358575046111,64.966585380267,145.390573343396,24964.0237801457,1.00001565485652
"y[8]",52.5883589822172,0.23455217196544,36.6484692015187,11.4349170005884,27.4096005697049,42.9731361743682,67.1776880713739,149.343719254713,24413.6525874802,1.00001055556539
"y[9]",94.6647369742139,0.355313142366302,57.2392930409292,25.1612427827995,54.6891779128275,81.4708580248893,119.136542142467,242.973111690675,25951.7099887905,1.00002805561017
"y[10]",33.5273355171188,0.157525734169903,26.6777030449434,6.08610681229146,15.6572059987398,26.1079060288272,42.7099756550987,104.120937138814,28680.9705318278,0.999999127904594
"y[11]",39.5158724642149,0.186994964975586,30.2317413460532,7.20961787755216,18.9504469190619,31.2637827314148,50.6883001239097,120.428181188913,26137.6477432521,0.999993998946144
"phi",8.96493422690776,0.00314682709398844,0.739917514749023,7.57809519783846,8.45369886922571,8.94163409593078,9.4485945260259,10.4986241761134,55286.7236465395,0.999922346644038
"tau",54.8942149143599,0.131208184966577,20.5655722127209,25.1894469366693,40.1413735583414,51.3326858635359,65.9149900537936,104.365852832308,24567.4307084661,1.00003039464199
"ifr_noise[1]",1.00543941686163,0.000400521673162449,0.099108927323272,0.812561760466596,0.938500156641692,1.00522032124039,1.07240310727484,1.19989855486392,61231.3039320948,0.999974157655168
"ifr_noise[2]",0.993349788004112,0.000432991107277852,0.100017724718515,0.797658504405702,0.925182675854402,0.992884778421077,1.06135739326686,1.18946860340445,53357.563192716,0.999967577658732
"ifr_noise[3]",0.99652837344796,0.000410485216697826,0.100097278459498,0.799820938588359,0.928799044076204,0.996197335361356,1.06485540462237,1.19158942525049,59463.3670907584,0.999996148980626
"ifr_noise[4]",1.00389251397635,0.000395034626113948,0.0999207184798598,0.808134700603468,0.936182333180159,1.00355564945328,1.0712473649444,1.20023547130134,63979.4889894052,0.999978868195909
"ifr_noise[5]",1.00261284411519,0.00041517573246096,0.0997310465175585,0.806338067067316,0.93587104766435,1.00281058578067,1.06922003036626,1.19867216411771,57702.7925499332,0.999929192773626
"ifr_noise[6]",0.997528738402151,0.00036671041223325,0.0997725891214307,0.80206037204967,0.929586434251595,0.997443770240956,1.06440317554988,1.19309443299496,74024.5885546022,0.999951537306007
"ifr_noise[7]",0.999170296010936,0.000416394653174351,0.100527701934456,0.802800209316853,0.930722056324657,0.999446727704252,1.06709952424453,1.19450257478746,58285.5932163599,0.999944736442054
"ifr_noise[8]",0.998538831140768,0.000428721473871128,0.100126901844594,0.804024764765031,0.930302884255813,0.998871425316489,1.06669363708186,1.19320015316674,54544.5147540595,1.00005033817445
"ifr_noise[9]",1.00848896474218,0.000386129212350174,0.0990250579805866,0.815119655072595,0.94168784221723,1.00877368774229,1.07533214304451,1.20252184214136,65769.5533424721,1.00000022378906
"ifr_noise[10]",0.995789728940867,0.000406166398067073,0.100749766075217,0.800026234260159,0.927235813537618,0.995870967939606,1.06402488905412,1.19409185066756,61529.035833911,0.999932780814987
"ifr_noise[11]",0.997257277869034,0.00040927484452949,0.0992088511327847,0.801919926618887,0.930461957409444,0.996856416410341,1.06430378929957,1.19111464149836,58758.5048597002,0.999920223952198
"weekly_effect[1,1]",1.57549308025155e-05,3.62068827614221e-05,0.0100668790567365,-0.0196966655835372,-0.00688570786433967,4.3605065807389e-05,0.00689445102279931,0.0195074021054196,77304.972597737,0.999923550740075
"weekly_effect[1,2]",7.88243111583835e-06,3.56954995312168e-05,0.00987323809505438,-0.0192834388519517,-0.0066185480083068,-1.21156455720153e-05,0.00659348041000722,0.0194757560068036,76505.4356560462,0.9999649887185
"weekly_effect[1,3]",-2.23136191020858e-06,3.58991330491596e-05,0.00994812780884545,-0.0195935868661316,-0.00673825288614886,2.96757628465938e-05,0.00670630872483109,0.0194618250830921,76791.7900290676,0.999999731397298
"weekly_effect[1,4]",-3.73619866012781e-05,3.64228297501245e-05,0.0099367405209916,-0.019421021378796,-0.00674501177925301,1.1049492118162e-05,0.00668943539128824,0.0193333030965933,74428.7166631451,0.999989628559047
"weekly_effect[1,5]",5.75074938702086e-05,3.61442016016297e-05,0.0100141011937721,-0.0195668775058372,-0.00665948571056,-1.49673775893342e-05,0.00675607617638137,0.0199736452272633,76762.0703316242,0.99995116370549
"weekly_effect[1,6]",2.30436338351147e-05,3.54780447126733e-05,0.0100396145643073,-0.0196553802034894,-0.00672085279001077,-1.93198378034069e-05,0.00672651916434974,0.019806837444481,80078.2781617534,0.999963242804662
"weekly_effect[1,7]",3.16450567806298e-05,3.80907489369108e-05,0.0100457443099062,-0.0197143901072399,-0.00675331927763286,4.95322584498443e-05,0.00683566028953044,0.0198111325732967,69554.4973576097,0.999953407458861
"weekly_effect[1,8]",-2.11032566566829e-06,3.61668705734422e-05,0.0099719391004675,-0.0194135171282138,-0.00673224606349138,1.00536364109722e-05,0.00677082332012501,0.0193610238348271,76021.6639482746,0.999919415648329
"weekly_effect[1,9]",8.60506344705649e-05,3.90155470685301e-05,0.00988849898092853,-0.0193710376721085,-0.00656157677927247,5.50616504024864e-05,0.00666177678335592,0.0197924214214976,64237.0139269626,0.999959852173952
"weekly_effect[1,10]",1.53707537621955e-05,3.84070955573721e-05,0.010038096348774,-0.0197481802292242,-0.00673023882682006,8.22875676844851e-05,0.00675946188658197,0.0197516364402689,68309.2925915197,0.999932113674025
"weekly_effect[1,11]",6.88968852422354e-05,3.6747971131425e-05,0.00996597614094582,-0.0194748929047029,-0.00662789339568118,9.94204629607147e-05,0.00679747631517129,0.0195854538765453,73548.3532268484,0.99994419575811
"weekly_effect[2,1]",-0.256968736157447,0.00283301590522695,0.567125967514508,-1.38077483803682,-0.632342990915499,-0.253108942408337,0.120054286381129,0.856071301100948,40073.8474707824,1.00003329798434
"weekly_effect[2,2]",-0.25482653588194,0.00318753704150335,0.593478334641829,-1.44419297278854,-0.645596103483432,-0.252863000536221,0.139938810405405,0.910190852719924,34665.6428350894,0.999988204492393
"weekly_effect[2,3]",-0.251911322465859,0.00292966345665886,0.57983472915208,-1.40353273108339,-0.63750908827924,-0.251736233284329,0.135350184850039,0.885075009362507,39171.7505184862,0.999941058958626
"weekly_effect[2,4]",-0.384945502379471,0.00300927625015209,0.578506469111262,-1.53722698011191,-0.763736316278196,-0.37895166880386,-0.000352956885903621,0.737634975615404,36956.6268043865,0.999984024631104
"weekly_effect[2,5]",-0.292948997880709,0.00295565218607373,0.567719022145401,-1.42490868313515,-0.669291684315055,-0.287355686629414,0.0892494653067801,0.808929462369544,36894.3819996147,1.00006596306089
"weekly_effect[2,6]",-0.217085310222848,0.00295606514169413,0.578952298778095,-1.3755919629021,-0.597117398473201,-0.2157907209874,0.168663808305762,0.91596442614536,38358.1422086786,1.00005056155202
"weekly_effect[2,7]",-0.143943837112493,0.00311214084209407,0.569423903923957,-1.26804050757944,-0.518781591259661,-0.143668084638458,0.237183192721788,0.978501889427283,33477.4910710609,0.99994811839075
"weekly_effect[2,8]",-0.291565546636889,0.00296315276214175,0.572530645681836,-1.4325354501393,-0.669323861691424,-0.285135079915631,0.0941281478249029,0.825163539788406,37332.6993384962,0.999982600742774
"weekly_effect[2,9]",-0.288673539001544,0.00288694536199346,0.561643368850635,-1.40076236247879,-0.65781694729988,-0.287329237047985,0.0814651154167492,0.819494838007342,37848.1052054888,0.999942591349069
"weekly_effect[2,10]",-0.080505043814691,0.00302194841564807,0.580212225644634,-1.23586976481688,-0.465809198842827,-0.0736667600323128,0.306003485302232,1.05031339042577,36863.7623585496,1.00001039531136
"weekly_effect[2,11]",-0.157962551562621,0.00298598742952051,0.578123136616343,-1.30584304504442,-0.539096194187002,-0.153782769385485,0.227963710128174,0.98687888061206,37485.6244933259,1.00005031702817
"weekly_effect[3,1]",-0.498574080555154,0.00346553020487751,0.558759137762433,-1.64292309059764,-0.861932733917442,-0.48149554088105,-0.116184263859859,0.542165014056042,25996.2018341222,1.00005191834342
"weekly_effect[3,2]",-0.543766229452869,0.00419086642854124,0.652649653974837,-1.87919974624562,-0.966463474983512,-0.530698252159592,-0.0962846572882529,0.695443625468552,24252.2806769199,1.00009680693078
"weekly_effect[3,3]",-0.527662776667175,0.00384126431722764,0.616010826587164,-1.78667495938956,-0.925658538493819,-0.508834024908573,-0.108443897875875,0.624780463441975,25717.4738102358,0.999960111938526
"weekly_effect[3,4]",-0.769017279452441,0.0040360370496951,0.593743365966996,-1.98669636354997,-1.15256627100358,-0.748933004270766,-0.358728752815614,0.336405342869481,21641.4946590391,1.00000090479071
"weekly_effect[3,5]",-0.581025486067014,0.00355572779410955,0.573950294403648,-1.77511412737108,-0.952901261152389,-0.557355831808692,-0.188131654101082,0.479427298518592,26055.0285249881,1.00004298605634
"weekly_effect[3,6]",-0.44796363648458,0.00372862353848138,0.609812368331399,-1.6973055825663,-0.843732373169924,-0.429953021212683,-0.0305621699721189,0.698112833171174,26748.2505952196,1.00000942006114
"weekly_effect[3,7]",-0.29272202959233,0.00387828492086325,0.588707530508995,-1.49485231764284,-0.676647372414563,-0.278970848085642,0.106098258082115,0.824953852889435,23041.9780735999,0.999957812292021
"weekly_effect[3,8]",-0.594677929109907,0.00385377171342546,0.600427130495214,-1.85061658680969,-0.979818203443537,-0.569200713800858,-0.186328593883558,0.516933928862074,24274.407938059,0.999946478893399
"weekly_effect[3,9]",-0.558395677487022,0.00335967314394396,0.548153914218729,-1.67950181802966,-0.914509441269441,-0.542939271809634,-0.182705237540291,0.47100019119359,26620.1797519269,0.999982659083507
"weekly_effect[3,10]",-0.176868468420765,0.00362662389569287,0.611313344809485,-1.43598618309411,-0.573377443674794,-0.158571384233383,0.242911086974521,0.966502067891677,28413.3679416203,0.999989718192145
"weekly_effect[3,11]",-0.332088619786702,0.00373929574391752,0.612489273554829,-1.59312202097188,-0.727185959537187,-0.313663100976426,0.0890725309932218,0.81014362837343,26829.7943790198,1.00005205893366
"weekly_effect[4,1]",-0.564851942155325,0.00331024212175658,0.522856490650264,-1.63370046036548,-0.904587765685272,-0.546795860301744,-0.209746278664114,0.42134535945403,24948.560131071,1.00006606679412
"weekly_effect[4,2]",-1.02709283079566,0.00429338100616542,0.632852083085037,-2.33835701310982,-1.43766581704974,-1.00423241186886,-0.596130696181489,0.154663866784998,21727.290278661,1.0001281606565
"weekly_effect[4,3]",-0.918013306577287,0.00375342002833951,0.579657283403089,-2.11707359428511,-1.29618719246606,-0.896935366926836,-0.519852945472925,0.152375380104264,23849.9932332731,1.00014774570482
"weekly_effect[4,4]",-1.05419307659784,0.00432575183927956,0.57874689640235,-2.25423996247526,-1.43204648490463,-1.03779022059166,-0.656271594566333,0.0334610528417714,17900.0460365738,1.00007705353587
"weekly_effect[4,5]",-0.746853926076508,0.00345803631683482,0.561830848540147,-1.90935826246374,-1.11048775789175,-0.725023693428017,-0.365036872358269,0.30660263411027,26396.8474635793,1.00002998445855
"weekly_effect[4,6]",-0.743370663983735,0.00382052094957003,0.587839704198768,-1.95817780659271,-1.12245817334382,-0.722711702279047,-0.343320869442827,0.364749565899018,23674.055492684,1.00002283170932
"weekly_effect[4,7]",-0.435443959418437,0.00343216337330384,0.547092621640918,-1.55602314449829,-0.791570715287605,-0.417883277409402,-0.0664904646360737,0.600514366104982,25408.8968781206,0.999989160500902
"weekly_effect[4,8]",-0.907328377424555,0.00390424511662039,0.572944237594307,-2.0897113909304,-1.28012968591207,-0.888008390312737,-0.513347971057923,0.15428961145901,21535.2818539174,0.999945621049056
"weekly_effect[4,9]",-0.590573359449441,0.00328829589944859,0.526799488486419,-1.67666880818066,-0.931166927016942,-0.575271258362548,-0.233190374485692,0.392079133113589,25665.45142538,1.00004363055637
"weekly_effect[4,10]",-0.363094586124322,0.00336718541475409,0.576125831147466,-1.55912173911208,-0.734203333774791,-0.339601463176209,0.0344684860460834,0.71481672535336,29275.25133036,1.00006119774806
"weekly_effect[4,11]",-0.568581643578292,0.00349310148725635,0.566198334811101,-1.7378855868136,-0.932594504303503,-0.545212582799124,-0.184390734747338,0.491412931523798,26273.3086769714,0.999948199710181
"weekly_effect[5,1]",-0.316947146294013,0.003162792559768,0.471614848664223,-1.25896845980764,-0.623584367114845,-0.319768316201589,-0.00480535181243246,0.610196834425993,22234.8151665426,1.00000811856941
"weekly_effect[5,2]",-1.63841852499592,0.00416103846486054,0.541323912058824,-2.74043074579692,-1.9931012540006,-1.62655924065594,-1.26701466693397,-0.622303728074962,16924.3096461383,1.00024435851463
"weekly_effect[5,3]",-1.2826468076006,0.00333606364574948,0.488538651912006,-2.2928894889921,-1.60033468790624,-1.26745514970743,-0.947514021791009,-0.364396251505308,21445.1557242494,1.0000095695296
"weekly_effect[5,4]",-1.27257390184628,0.00423117656881701,0.507195460094949,-2.30809726640053,-1.59847660698664,-1.25885792110934,-0.933336932003211,-0.309574763214266,14369.0619452641,1.00013883709959
"weekly_effect[5,5]",-0.805279342601611,0.00297012076312537,0.501183839732997,-1.84646822242567,-1.12557889491581,-0.786359151757994,-0.464652413049042,0.125071376662824,28473.8309669843,0.999982522624939
"weekly_effect[5,6]",-1.08726038917619,0.00317119064347329,0.499540072099631,-2.10926695414283,-1.40875903817582,-1.07269947420376,-0.750826525066895,-0.149308806841145,24813.9533553176,1.00001257348821
"weekly_effect[5,7]",-0.455205181418012,0.0031198248134617,0.491631472665495,-1.4458818122683,-0.773699608688118,-0.450568200391053,-0.13004167758496,0.497994425053401,24832.4139190944,1.00013176182825
"weekly_effect[5,8]",-1.15024378891881,0.00315967094241913,0.491878953098963,-2.16608998000843,-1.46589892492841,-1.13445917295011,-0.814484303856351,-0.225071490483812,24234.4276615907,1.00001348408049
"weekly_effect[5,9]",-0.378810976170697,0.00322325757895643,0.480072354540458,-1.33400445408886,-0.69123002837935,-0.376327428207137,-0.0626284374301702,0.56429144063193,22183.1578613946,1.00015631932181
"weekly_effect[5,10]",-0.523087138290049,0.00248778138399794,0.471754978888467,-1.51433511773728,-0.827995594206842,-0.503485760511625,-0.200724792844874,0.345327781416329,35959.0787981944,1.00012886508384
"weekly_effect[5,11]",-0.784327651303097,0.00287500504769423,0.47078801406888,-1.76196444003533,-1.08748400962167,-0.767976616968647,-0.465157968851188,0.0926216460413476,26814.7388627927,0.999950433839648
"weekly_effect[6,1]",0.355550495318247,0.00385251252405337,0.48435057694474,-0.584822912290314,0.0345327184456418,0.350646799352376,0.668285867185583,1.34356191048927,15806.3474533868,0.99997766066127
"weekly_effect[6,2]",-1.94761863247557,0.00412431250492099,0.460260519103434,-2.86764983820815,-2.24653450260773,-1.9431667075197,-1.64371679702703,-1.05053709756651,12453.8696548256,1.00024407538318
"weekly_effect[6,3]",-1.06079157570751,0.00302260048204538,0.409952480692343,-1.88436128472353,-1.32825587597311,-1.05262710881257,-0.787788361524978,-0.271797124305025,18395.2435818482,1.00003685318531
"weekly_effect[6,4]",-1.13843972865842,0.00379045213871742,0.391597175457685,-1.92902859459936,-1.39380296046932,-1.13566327532577,-0.875681392940978,-0.379693433633949,10673.2594542783,1.00035642652453
"weekly_effect[6,5]",-0.815879638544311,0.00270539545416726,0.40471001202258,-1.64535248136353,-1.07222437439538,-0.805658748689409,-0.543322060720072,-0.0492505859748389,22378.2635862178,1.00013445247914
"weekly_effect[6,6]",-1.40415435547551,0.0029988290015391,0.438393132395542,-2.30813771288815,-1.6854632718588,-1.39356766847743,-1.113220353414,-0.560308692790757,21370.9623790261,1.00002289380882
"weekly_effect[6,7]",0.0228208955510954,0.00368817958503886,0.501836279853146,-0.967372164459219,-0.304897802443506,0.0217041153301413,0.351319304786445,1.01760346263485,18513.9885583497,1.00017964436993
"weekly_effect[6,8]",-0.928301410929935,0.00319734608047947,0.40145821390299,-1.73913320270474,-1.1846837542476,-0.922781919727116,-0.663670525284649,-0.148249788324534,15765.2696205374,1.00021831623261
"weekly_effect[6,9]",0.0174577933706256,0.00391778331077971,0.506065369861799,-0.983593217938705,-0.314331237062707,0.015332481720236,0.348280414355254,1.02134638268835,16685.2383598578,1.00006548029772
"weekly_effect[6,10]",-0.217960926357034,0.0020671087563442,0.368490499860325,-0.970101839683792,-0.451142079277767,-0.208137501711515,0.0296563789966537,0.477036513859461,31777.9544391067,1.00008725004369
"weekly_effect[6,11]",-0.510015954377545,0.00311443252622975,0.415256206844209,-1.34903793812877,-0.778522691166159,-0.503237183083575,-0.235289465726905,0.295006738795807,17777.652484354,1.00015428214109
"weekly_effect[7,1]",0.721949936930985,0.00382682691636148,0.508751475746826,-0.250204205205132,0.382552897417884,0.709717820991016,1.04885659150709,1.76246113820218,17673.9541537051,1.00001119872515
"weekly_effect[7,2]",-1.01328151098445,0.00413869983584012,0.435009938423877,-1.83324993238922,-1.30362203715007,-1.02640057052982,-0.735422652468765,-0.118105692334903,11047.66505259,1.00039287167825
"weekly_effect[7,3]",-0.197148143713837,0.00377042211688491,0.4439412195857,-1.07686651964584,-0.484454479420125,-0.198109988515069,0.090954867507324,0.687999422695189,13863.4395484359,1.00023129066533
"weekly_effect[7,4]",0.325587192316478,0.00416422647561229,0.43651888296383,-0.543837656008139,0.043117276143642,0.32708089524099,0.612522211166602,1.18886758043942,10988.4740863193,1.00047224860794
"weekly_effect[7,5]",-0.522440097107513,0.00286757276666981,0.391969982825864,-1.31666731503312,-0.776287435149961,-0.518395938632747,-0.26190870201939,0.234677886535413,18684.2954180145,1.00002645501739
"weekly_effect[7,6]",-1.32449393539379,0.00336758100152406,0.430319007024388,-2.18032176015144,-1.60569679176797,-1.32214783090113,-1.03943957935684,-0.490904171016546,16328.4498514571,0.999959266579509
